"","sample","Site","Year","Acronicta tridens","Agrotis segetum ","Agrotis sp.","Axylia putris","Campaea margaritaria","Diachrysia chrysitis ","Dysstroma citrata ","Epirrhoe alternata","Epirrita dilutata","Eupithecia virgaureata ","Falcaria lacertinaria ","Gymnoscelis rufifasciata","Hepialus humuli","Hydriomena furcata","Idaea aversata","Idaea straminata","Lampropteryx otregiata","Noctua sp.","Spilarctia luteum ","Xestia c-nigrum"
"1","NIGHT1","Clocaenog","?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","NIGHT10","Clocaenog","2016",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3","NIGHT11","Brechfa","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4","NIGHT12","Brechfa","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","NIGHT15","Brechfa","2016",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","NIGHT17","Brechfa","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","NIGHT2","Clocaenog","2015",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"8","NIGHT22","Clocaenog","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","NIGHT23","Clocaenog","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","NIGHT24","Clocaenog","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"11","NIGHT27","PyC","2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","NIGHT28","Clocaenog","2017",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"13","NIGHT29","Afan","2017",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","NIGHT30","PyC","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","NIGHT31","PyC","2016",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"16","NIGHT32","Brechfa","2017",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"17","NIGHT33","Clocaenog","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"18","NIGHT35","Afan","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","NIGHT36","PyC","2016",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"20","NIGHT37","Bryn","2017",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"21","NIGHT38","PyC","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"22","NIGHT4","Clocaenog","2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23","NIGHT41","Bryn","2017",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","NIGHT42","Brechfa","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"25","NIGHT43","Brechfa","2017",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"26","NIGHT44","Brechfa","2017",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27","NIGHT45","PyC","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","NIGHT47","Clocaenog","?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","NIGHT48","Clocaenog","2017",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"30","NIGHT50","Brechfa","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","NIGHT54","Brechfa","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32","NIGHT55","Brechfa","2017",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"33","NIGHT57","Brechfa","2017",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"34","NIGHT59","PyC","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","NIGHT6","Clocaenog","2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","NIGHT60","PyC","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"37","NIGHT63","Clocaenog","2017",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"38","NIGHT65","PyC","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"39","NIGHT67","Clocaenog","2017",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"40","NIGHT7","Clocaenog","2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
